LST,UTCI,UTFVI
40.934506537142866,36.96690121885316,0.17478651101040113
34.114580060000016,36.89831333647862,-0.02093974317469014
33.37726431714287,36.911351727028304,-0.04210009570705146
32.53972734500003,37.02557265809088,-0.0661367147011783
31.542861812000023,37.06861248148671,-0.09474593172928575
38.66092644000001,36.84053335765695,0.10953664101620503
36.01542643250002,36.81719210841738,0.033612976934194384
35.247226437500004,37.020617772248556,0.011566271886818271
31.312230912500027,36.89734421197552,-0.10136484796097271
35.23422575428573,36.91591913749778,0.011193163021802677
36.4949868457143,36.96370711909697,0.04737596450429037
39.43259192750001,36.9025150835545,0.1316828028345891
38.97060990285716,36.93999286887973,0.11842430049043025
38.30849060000002,36.8584168466547,0.09942202364679997
38.864488520000045,37.09562316299878,0.11537870449681076
33.93427950500003,37.017764158364876,-0.026114220110169502
33.941237617142875,36.9324548485088,-0.025914528041569698
40.59941850500002,36.84819650100273,0.16516976139097564
35.43849314000003,37.09569309429467,0.017055468193571892
36.643914859999995,36.9499377312042,0.05165007544625678
34.251300860000015,36.89814831394935,-0.017015969195179493
33.503608985000014,37.08878555984962,-0.03847410814562853
35.21518250000004,37.1288339307473,0.010646637360371499
35.54673044000002,36.927708342164,0.02016178926068428
35.579201630000014,37.04717096459339,0.021093685580817933
38.73916112000002,36.92564101818871,0.1117819116822586
33.60985244000002,37.20335276361945,-0.03542500878238364
27.179417480000026,37.2891498825204,-0.2199731782853689
38.144805420000026,36.88104324139962,0.09472439424355263
32.83770544571429,36.836193612005786,-0.057584989447620485
32.23222761714289,36.92443558401921,-0.07496170278545272
35.72864506000002,36.92009411792478,0.025382588527866557
33.83515692500002,37.00374596557415,-0.028958956245314936
36.221789390000026,37.044688190124056,0.03953542328451846
32.26396637428574,36.96107793120278,-0.0740508266830666
34.83529399142859,36.99331830427967,-0.000255848911269421
32.30937721142859,36.91309794276652,-0.07274757318272924
31.378796852000015,37.16400744473557,-0.09945446050469879
34.04929587800002,36.868700976303074,-0.022813345249906466
37.664193830000016,37.206686777319646,0.0809312387683558
37.64490643142858,36.94500812201093,0.08037770636767463
35.67759177714289,36.845726507865336,0.02391740149821623
33.1624173457143,36.938613578988104,-0.048266026246282304
37.168580930000005,36.92126063017595,0.06670755809262927
38.140324016000015,36.903148565690145,0.0945957816520017
37.301639565714304,36.955930632447945,0.07052623098340344
39.063018515000024,37.2396586475775,0.12107635129622464
38.51601324285717,36.835589348720404,0.10537775200855745
34.07209895428574,36.88816991434126,-0.022158915804037747
35.81419050500001,37.02730927955267,0.027837672108101882
31.47245060000002,37.16304866306755,-0.09676667532873384
34.394430447500014,36.87522909514777,-0.012908268310379284
29.349005675000015,37.12895384277633,-0.15770778994800916
33.89094389428575,36.89772910404086,-0.02735791632688924
32.253712314285735,36.97319033000823,-0.07434510973152994
30.93045028571432,36.885498360227025,-0.11232163646179365
32.544854375000014,37.17263064280347,-0.06598957317694713
33.95930429428572,36.94476260352493,-0.02539602933713463
40.36223233142861,36.84798996534257,0.1583627142104501
40.40800938500003,36.95847255748125,0.15967647781966102
34.027420550000016,37.050328872384995,-0.023441149086628178
31.799603942857175,36.886223580884135,-0.08737764473490438
40.377857565714294,36.92475618932771,0.15881114552239337
35.28439740500001,37.063322994722746,0.012633047937497833
31.249595696000018,37.01329758445152,-0.1031624269153363
31.6072182457143,36.936646163339134,-0.09289895526321633
33.48651888500001,37.03484609941389,-0.03896457989306749
29.235356510000017,37.17581742132123,-0.16096942706847736
33.87531866000002,37.03029443007976,-0.027806347638833728
37.63343165000002,36.862007745216275,0.08004838962296601
33.046448810000015,37.04714727435862,-0.05159422738961731
35.13168515428573,36.94817107769001,0.008250332537169537
31.73495453600002,37.162889492848734,-0.08923302928807329
34.48486556,37.127807851660826,-0.010312855313515761
34.52269164800002,37.13605061879699,-0.009227277845850654
32.80791984285717,36.85753451271408,-0.058439811636013354
31.89921481142858,36.951851479776984,-0.08451889512126161
33.419354792,37.150354620189084,-0.04089213386050238
26.98459034000001,37.26487156119302,-0.22556455620617205
34.74007772,37.00247024127612,-0.002988477218429188
31.167392315000015,37.15185781580483,-0.10552159602051718
33.09122487200002,37.17618064767112,-0.050309191411327454
33.60273156500001,37.209218670285395,-0.0356293720104833
39.02883831500003,36.9432074065247,0.12009540780134713
39.17894636000002,36.97758887770809,0.12440338464968458
34.30745404571429,36.97625332274582,-0.015404419167880842
33.070374950000016,37.255782044654616,-0.050907566943202934
37.75184162857143,36.812622382057725,0.08344665815879158
30.559839260000018,37.10469298206928,-0.12295786664196766
31.243443260000006,37.147933023920096,-0.1033389967444146
38.22059865714288,36.843599966294605,0.0968995975171146
34.89242375428574,36.85699587108493,0.0013837280730261538
30.76530024000002,36.841915434222926,-0.11706130630053628
34.59017312857144,36.93097782694873,-0.007290615117392318
