LST,NDBI,NDVI,distance_m,Year,EXP
31.740746849645916,-0.11408367343841748,0.26220039634334585,100,2006,0
31.498083410612317,-0.1186298769916504,0.27010218566482785,250,2006,0
31.271871481314836,-0.12289102617105375,0.2755627093614228,500,2006,0
31.15711475429104,-0.12410747417087876,0.2775769269491757,750,2006,0
31.101836928879386,-0.1244181281185658,0.2790892519718872,1000,2006,0
31.02747649377646,-0.12555657713134794,0.28290713884496543,1500,2006,0
30.962955449060768,-0.1262806755116203,0.2849200157736689,2000,2006,0
30.871488146649973,-0.1269732307311763,0.28565050766065003,3000,2006,0
31.42294054823177,-0.17512699955158295,0.23474106421607835,100,2009,0
31.10577565267549,-0.1788553745668958,0.23868788964115864,250,2009,0
30.813490113731252,-0.1826674585752214,0.2436712083305124,500,2009,0
30.67710107596101,-0.18395436545127464,0.2461602122436453,750,2009,0
30.59836638998937,-0.18449658999780083,0.24791656378308374,1000,2009,0
30.490724379817404,-0.18562140771671945,0.2508725315419609,1500,2009,0
30.420103118611912,-0.18637927431522894,0.2529295533155541,2000,2009,0
30.328340727893355,-0.18695901535462756,0.25574031644356215,3000,2009,0
32.472408008938764,-0.11937878967598659,0.4232144064699352,100,2019,1
32.03593701645004,-0.13217978029289357,0.4431638945470358,250,2019,1
31.661540976567185,-0.14265755985585213,0.45889791347770426,500,2019,1
31.468180975129812,-0.14816617365175966,0.46806742359169784,750,2019,1
31.337091580259155,-0.15228022153293672,0.4743258170887198,1000,2019,1
31.154454476667937,-0.1591770925590051,0.48375535474443254,1500,2019,1
31.02453824337262,-0.16367829024152808,0.49034382710453905,2000,2019,1
30.853827726139897,-0.16866150133659963,0.4975094144358585,3000,2019,1
33.01974891533582,-0.18977732682863308,0.373361045108597,100,2024,1
32.56115357381534,-0.19714048057207145,0.38174158669386205,250,2024,1
32.18005670321733,-0.20509572782806637,0.3897544127899185,500,2024,1
31.965701431801694,-0.2092393995486919,0.39447539666700676,750,2024,1
31.808772714675904,-0.21213093181008788,0.3984809930134836,1000,2024,1
31.576374025614026,-0.21691602837111323,0.4044452216695441,1500,2024,1
31.404678514551517,-0.2206166487517999,0.4098095000832684,2000,2024,1
31.184446430276864,-0.22574770314981776,0.416518380270528,3000,2024,1
